Modified Name,Proteins,Carbs,Fats,Fiber,Item Details
"Frozen Shrimp Paste, Grade AAA",16.7 g,6.6 g,2.4 g,0.0 g,150.0 g - 112 Cal
Anapakaya Aava Kura,0.8 g,3.8 g,4.1 g,2.4 g,100.0 g - 55 Cal
Aashirvad LG Aata Roti,4.1 g,17.9 g,0.5 g,4.1 g,35.0 g - 93 Cal
Anapakaya Aava Koora,0.8 g,3.8 g,4.1 g,2.4 g,100.0 g - 55 Cal
Aashirvad Low GI Aata Roti,4.1 g,17.9 g,0.5 g,4.1 g,35.0 g - 93 Cal
Aashirvad Low GI Aata Chapati,4.1 g,17.9 g,0.5 g,4.1 g,35.0 g - 93 Cal
Aavalu,0.6 g,0.7 g,1.1 g,0.4 g,2.8 g - 15 Cal
Aayate,1.7 g,17.1 g,4.6 g,0.3 g,70.0 g - 116 Cal
Aab Gosht,12.7 g,4.5 g,12.9 g,1.0 g,150.0 g - 184 Cal
Aab Shola,1.1 g,31.0 g,0.5 g,2.2 g,250.0 ml - 123 Cal
Dal Be Aab,3.8 g,10.6 g,11.7 g,2.3 g,100.0 g - 162 Cal
Hyderabadi Aab Shola,1.1 g,31.0 g,0.5 g,2.2 g,250.0 ml - 123 Cal
"Hajmola Albela Aam Candy, Dabur",0.0 g,2.5 g,0.0 g,0.0 g,2.7 g - 10 Cal
Aambil,1.7 g,2.3 g,4.5 g,0.4 g,150.0 g - 56 Cal
Arbi Kabab,1.9 g,11.3 g,5.3 g,1.6 g,50.0 g - 100 Cal
"Malai Paneer, Aabad Dairy",37.0 g,5.0 g,50.0 g,0.0 g,200.0 g - 618 Cal
Bijora Aachar,0.1 g,1.2 g,0.4 g,0.2 g,5.0 g - 5 Cal
"Sathu Mavu, Aachi",0.5 g,3.5 g,0.2 g,0.5 g,5.0 g - 17 Cal
"Garam Masala, Aachi",0.4 g,1.3 g,0.4 g,0.0 g,3.0 g - 10 Cal
"Badam Drink Mix, Aachi",0.2 g,4.1 g,0.2 g,0.0 g,5.0 g - 19 Cal
Aanchar,0.0 g,0.1 g,0.0 g,0.0 g,1.0 g - 1 Cal
"Egg Curry Masala, Aachi",0.5 g,1.6 g,0.4 g,0.0 g,3.0 g - 11 Cal
"Pudhina Thokku, Aachi",0.2 g,2.5 g,0.8 g,0.0 g,5.0 g - 18 Cal
Aadu,1.2 g,12.4 g,0.3 g,2.0 g,130.0 g - 51 Cal
Aadoo,1.6 g,13.7 g,0.4 g,2.1 g,130.0 g - 65 Cal
Aadu Pak,0.1 g,6.3 g,1.1 g,0.2 g,10.0 g - 35 Cal
Aadi Kool,3.0 g,21.4 g,1.6 g,3.0 g,150.0 g - 112 Cal
Aadoo Sorbet,0.7 g,12.8 g,0.2 g,1.0 g,66.0 g - 55 Cal
Aadi Kummayam,4.4 g,30.3 g,10.7 g,2.0 g,130.0 g - 235 Cal
Aadi Kolakattai,0.3 g,3.0 g,0.4 g,0.2 g,15.0 g - 17 Cal
Aadi Kolukattai,0.3 g,3.0 g,0.4 g,0.2 g,15.0 g - 17 Cal
Aamer Dal,6.1 g,19.7 g,2.6 g,3.2 g,150.0 g - 124 Cal
Aamer Tok,0.8 g,28.5 g,6.4 g,1.3 g,150.0 g - 167 Cal
Aaley Pak,0.2 g,12.4 g,0.4 g,0.4 g,20.0 g - 52 Cal
Aalepak,0.2 g,12.4 g,0.4 g,0.4 g,20.0 g - 52 Cal
Aate ka Upma,3.9 g,19.4 g,4.2 g,3.4 g,130.0 g - 130 Cal
Aate ki Raab,0.5 g,10.2 g,5.4 g,0.5 g,150.0 g - 91 Cal
Aate ki Pinni,1.9 g,18.7 g,6.4 g,1.7 g,30.0 g - 139 Cal
Aate ki Kadhi,1.9 g,4.0 g,4.7 g,1.0 g,150.0 g - 65 Cal
"Devgad Alphonso Aam Ras, Aazol",0.1 g,2.9 g,0.1 g,0.0 g,15.0 g - 12 Cal
"Laffy Taffy Banana Candy, Ferrara",0.0 g,8.3 g,0.5 g,0.0 g,9.6 g - 36 Cal
"Laffy Taffy Candy, Banana, Ferrara",0.0 g,8.3 g,0.5 g,0.0 g,9.6 g - 36 Cal
"Zart Waffeln, Wiener Kaffee, Manner",0.9 g,8.5 g,3.4 g,0.4 g,14.0 g - 68 Cal
"Hummus, Naf Naf",2.5 g,6.0 g,12.5 g,2.0 g,50.0 g - 140 Cal
Aagasta,0.0 g,0.1 g,0.0 g,0.0 g,3.0 g - 1 Cal
Aagri Chicken,15.9 g,3.1 g,10.3 g,1.5 g,150.0 g - 169 Cal
Aam Agar Agar Pudding,2.4 g,18.8 g,2.9 g,0.8 g,150.0 g - 109 Cal
Nagasari Jagung,0.9 g,10.2 g,4.8 g,0.7 g,36.0 g - 83 Cal
